study,level,omegaRadPerSecond,rawAReciprocityResidual,rawBReciprocityResidual,pressureEnergyMatrixResidual,pressureEnergyB33Residual,maxRadiationLinearResidual,maxDiffractionLinearResidual
BodyMesh,Fine,1.6,1.76747806613409e-05,2.8271916471958e-05,0.997008519132096,0.976698694878661,4.10790981489716e-15,8.54920357288765e-15
BodyMesh,Fine,1.7,4.90731201820968e-05,1.89163247004013e-05,0.962181630046153,0.928514989777877,5.18959477133137e-15,4.587464603482e-15
BodyMesh,Fine,1.8,0.000240488351834103,0.000192391556128683,0.894983956311084,0.919344584007531,5.82529096740105e-15,4.11215068841258e-15
BodyMesh,Fine,1.9,1.97979111548937e-05,0.00021832584106897,0.997590169389801,0.875621707060408,1.43845781583469e-15,1.47335167881161e-15
BodyMesh,Fine,2,6.02385609007487e-08,0.000244304479365685,0.999156952634439,0.997016504294561,2.02439711991748e-15,1.50644431560082e-15
OuterDomain,Coarse,0.5,1.02523950831292e-05,3.59264529295122e-06,0.998572082716924,0.998571720556483,4.05488275505938e-16,4.03493441010725e-16
OuterDomain,Coarse,0.6,1.00717483533319e-05,1.92039135376536e-06,0.996946955434348,0.996944361201857,4.62274514346144e-16,4.38481480439573e-16
OuterDomain,Coarse,0.7,9.4767074975411e-06,5.57600050574763e-07,0.989166963448466,0.989131822966781,5.2802154057189e-16,4.89966349140485e-16
OuterDomain,Coarse,0.8,5.06558671834596e-06,1.03721475455242e-08,0.24834689693146,0.0719344621145916,3.25189181513317e-15,3.73254425034482e-15
OuterDomain,Coarse,0.9,1.56358357563133e-05,1.28759787742231e-07,0.981890898995695,0.981551322729265,6.88446198221389e-16,8.06838148788457e-16
OuterDomain,Coarse,1,1.49943992936491e-05,7.21451445820221e-06,0.996033267911217,0.995754342766754,9.23837164963922e-16,8.99340800232087e-16
OuterDomain,Coarse,1.1,2.35645282684358e-05,0.000220220902998353,0.997248737457193,0.998042761084618,7.18742982943344e-16,5.87234770587888e-16
OuterDomain,Coarse,1.2,5.17539740005482e-06,8.12248724248885e-05,0.998438854982121,0.998777797694033,5.27244439703847e-16,5.62785573398787e-16
OuterDomain,Coarse,1.3,8.64650042856834e-06,1.57763009948934e-05,0.99944696664341,0.999070160463483,4.84622451457066e-16,4.57996010125393e-16
OuterDomain,Coarse,1.4,9.46479642683769e-06,5.86521249548495e-06,0.999756735132964,0.99917422951672,4.32967532075934e-16,4.49725321156551e-16
