omegaRadPerSecond,level,quantity,characteristicMeshSizeM,value,zeroMeshExtrapolate,absoluteErrorToExtrapolate,coarseMinusMedium,mediumMinusFine
1.1,Medium,B33,0.721650583949818,338579.134767018,356446.141161625,17867.0063946064,-5085.79679098655,-3842.11497622821
1.1,Medium,F3,0.721650583949818,848206.755799553,858454.285118628,10247.5293190747,-2032.29603935382,-2038.72034928692
1.1,Medium,RAO3,0.721650583949818,1.11038658665383,1.10640894019542,0.00397764645841314,0.0041851727061013,0.00142445066632213
1.1,Fine,A33,0.516146222830692,-169162.355972259,-169372.923523509,210.567551249958,-2879.60934410576,-599.84129903547
1.1,Fine,B33,0.516146222830692,342421.249743246,356446.141161625,14024.8914183782,-5085.79679098655,-3842.11497622821
1.1,Fine,F3,0.516146222830692,850245.47614884,858454.285118628,8208.80896978779,-2032.29603935382,-2038.72034928692
1.1,Fine,RAO3,0.516146222830692,1.10896213598751,1.10640894019542,0.00255319579209101,0.0041851727061013,0.00142445066632213
1.2,Coarse,A33,1.1970141330561,106549.548450803,108196.866486323,1647.31803552053,-1163.0367972642,-295.244608178415
1.2,Coarse,B33,1.1970141330561,2464.85863080148,2469.62256345781,4.7639326563326,12.376059978877,-0.469293815785932
1.2,Coarse,F3,1.1970141330561,350044.832331507,349562.318646492,482.513685014856,393.523380756204,87.7711235579336
1.2,Coarse,RAO3,1.1970141330561,1.45456908218365,1.41457238183642,0.0399967003472312,0.0257965288152964,0.00710884869961026
1.2,Medium,A33,0.721650583949818,107712.585248067,108196.866486323,484.281238256328,-1163.0367972642,-295.244608178415
1.2,Medium,B33,0.721650583949818,2452.4825708226,2469.62256345781,17.1399926352096,12.376059978877,-0.469293815785932
1.2,Medium,F3,0.721650583949818,349651.308950751,349562.318646492,88.990304258652,393.523380756204,87.7711235579336
1.2,Medium,RAO3,0.721650583949818,1.42877255336836,1.41457238183642,0.0142001715319349,0.0257965288152964,0.00710884869961026
1.2,Fine,A33,0.516146222830692,108007.829856245,108196.866486323,189.036630077913,-1163.0367972642,-295.244608178415
1.2,Fine,B33,0.516146222830692,2452.95186463838,2469.62256345781,16.6706988194237,12.376059978877,-0.469293815785932
1.2,Fine,F3,0.516146222830692,349563.537827193,349562.318646492,1.21918070071843,393.523380756204,87.7711235579336
1.2,Fine,RAO3,0.516146222830692,1.42166370466875,1.41457238183642,0.00709132283232461,0.0257965288152964,0.00710884869961026
1.3,Coarse,A33,1.1970141330561,124882.672100445,126528.386343451,1645.7142430055,-1066.45084455534,-292.625122292273
1.3,Coarse,B33,1.1970141330561,898.417529140849,893.814655161269,4.60287397957973,7.1379881075261,0.919956372791034
1.3,Coarse,F3,1.1970141330561,262453.032974553,261001.617303224,1451.41567132901,873.126958926354,256.429785391345
1.3,Coarse,RAO3,1.1970141330561,2.26382876534672,2.14139379566983,0.12243496967689,0.081731769841344,0.0218286470475859
1.3,Medium,A33,0.721650583949818,125949.122945001,126528.386343451,579.263398450159,-1066.45084455534,-292.625122292273
1.3,Medium,B33,0.721650583949818,891.279541033323,893.814655161269,2.53511412794637,7.1379881075261,0.919956372791034
1.3,Medium,F3,0.721650583949818,261579.906015627,261001.617303224,578.28871240266,873.126958926354,256.429785391345
1.3,Medium,RAO3,0.721650583949818,2.18209699550538,2.14139379566983,0.0407031998355465,0.081731769841344,0.0218286470475859
1.3,Fine,A33,0.516146222830692,126241.748067293,126528.386343451,286.638276157886,-1066.45084455534,-292.625122292273
1.3,Fine,B33,0.516146222830692,890.359584660532,893.814655161269,3.45507050073741,7.1379881075261,0.919956372791034
1.3,Fine,F3,0.516146222830692,261323.476230236,261001.617303224,321.858927011315,873.126958926354,256.429785391345
1.3,Fine,RAO3,0.516146222830692,2.16026834845779,2.14139379566983,0.0188745527879606,0.081731769841344,0.0218286470475859
1.4,Coarse,A33,1.1970141330561,133564.050513776,135153.731827923,1589.68131414705,-995.59997248312,-281.818018240534
1.4,Coarse,B33,1.1970141330561,653.559744701936,646.448683315367,7.11106138656896,6.91145603623193,1.32069463955645
1.4,Coarse,F3,1.1970141330561,185898.44537048,183751.786640375,2146.65873010518,1251.06984521018,378.277867474972
1.4,Coarse,RAO3,1.1970141330561,25.4071730537014,141.873444695546,116.466271641845,-26.1387703508413,-19.5036447898925
1.4,Medium,A33,0.721650583949818,134559.650486259,135153.731827923,594.081341663928,-995.59997248312,-281.818018240534
1.4,Medium,B33,0.721650583949818,646.648288665704,646.448683315367,0.199605350337038,6.91145603623193,1.32069463955645
1.4,Medium,F3,0.721650583949818,184647.37552527,183751.786640375,895.588884894998,1251.06984521018,378.277867474972
1.4,Medium,RAO3,0.721650583949818,51.5459434045426,141.873444695546,90.3275012910037,-26.1387703508413,-19.5036447898925
1.4,Fine,A33,0.516146222830692,134841.4685045,135153.731827923,312.263323423394,-995.59997248312,-281.818018240534
1.4,Fine,B33,0.516146222830692,645.327594026147,646.448683315367,1.12108928921941,6.91145603623193,1.32069463955645
1.4,Fine,F3,0.516146222830692,184269.097657795,183751.786640375,517.311017420026,1251.06984521018,378.277867474972
1.4,Fine,RAO3,0.516146222830692,71.0495881944352,141.873444695546,70.8238565011111,-26.1387703508413,-19.5036447898925
1.5,Coarse,A33,1.1970141330561,142161.3228157,143629.384857141,1468.0620414404,-894.198426142306,-259.640941411606
1.5,Coarse,B33,1.1970141330561,822.389585257904,808.005356476127,14.3842287817776,10.8534781943785,2.59510030312833
1.5,Coarse,F3,1.1970141330561,106827.218724825,104262.948716305,2564.27000851942,1465.58475935171,451.162807007146
1.5,Coarse,RAO3,1.1970141330561,0.746198946074481,0.758452512382695,0.0122535663082143,-0.00946625314855665,-0.00221608705902643
1.5,Medium,A33,0.721650583949818,143055.521241843,143629.384857141,573.863615298091,-894.198426142306,-259.640941411606
1.5,Medium,B33,0.721650583949818,811.536107063526,808.005356476127,3.5307505873991,10.8534781943785,2.59510030312833
1.5,Medium,F3,0.721650583949818,105361.633965473,104262.948716305,1098.68524916771,1465.58475935171,451.162807007146
1.5,Medium,RAO3,0.721650583949818,0.755665199223037,0.758452512382695,0.00278731315965763,-0.00946625314855665,-0.00221608705902643
1.5,Fine,A33,0.516146222830692,143315.162183254,143629.384857141,314.222673886485,-894.198426142306,-259.640941411606
1.5,Fine,B33,0.516146222830692,808.941006760397,808.005356476127,0.935650284270764,10.8534781943785,2.59510030312833
1.5,Fine,F3,0.516146222830692,104910.471158466,104262.948716305,647.522442160567,1465.58475935171,451.162807007146
